DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P31_S13,IT,2010,171818.9,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P31_S13,IT,2011,167202.3,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P31_S13,IT,2012,163971.6,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P31_S13,IT,2013,162317.9,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P31_S13,IT,2014,164199.9,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P31_S13,IT,2015,165991.5,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P31_S13,IT,2016,166878.2,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P31_S13,IT,2017,168553.9,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P31_S13,IT,2018,170509.7,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P31_S13,IT,2019,169503.7,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P31_S13,IT,2020,168925.8,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P31_S13,IT,2021,176167.8,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P31_S13,IT,2022,177075.3,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,P31_S13,IT,2023,179552.6,,
