time,time_label,geo,geo_label,unit,unit_label,freq,freq_label,OBS_VALUE
2000,2000,ITF4,Puglia,EUR_HAB,Euro per inhabitant,A,Annual,14200.0
2001,2001,ITF4,Puglia,EUR_HAB,Euro per inhabitant,A,Annual,14900.0
2002,2002,ITF4,Puglia,EUR_HAB,Euro per inhabitant,A,Annual,15300.0
2003,2003,ITF4,Puglia,EUR_HAB,Euro per inhabitant,A,Annual,15700.0
2004,2004,ITF4,Puglia,EUR_HAB,Euro per inhabitant,A,Annual,16200.0
2005,2005,ITF4,Puglia,EUR_HAB,Euro per inhabitant,A,Annual,16500.0
2006,2006,ITF4,Puglia,EUR_HAB,Euro per inhabitant,A,Annual,17200.0
2007,2007,ITF4,Puglia,EUR_HAB,Euro per inhabitant,A,Annual,17600.0
2008,2008,ITF4,Puglia,EUR_HAB,Euro per inhabitant,A,Annual,17300.0
2009,2009,ITF4,Puglia,EUR_HAB,Euro per inhabitant,A,Annual,16800.0
2010,2010,ITF4,Puglia,EUR_HAB,Euro per inhabitant,A,Annual,17100.0
2011,2011,ITF4,Puglia,EUR_HAB,Euro per inhabitant,A,Annual,17500.0
2012,2012,ITF4,Puglia,EUR_HAB,Euro per inhabitant,A,Annual,17600.0
2013,2013,ITF4,Puglia,EUR_HAB,Euro per inhabitant,A,Annual,17200.0
2014,2014,ITF4,Puglia,EUR_HAB,Euro per inhabitant,A,Annual,17400.0
2015,2015,ITF4,Puglia,EUR_HAB,Euro per inhabitant,A,Annual,17800.0
2016,2016,ITF4,Puglia,EUR_HAB,Euro per inhabitant,A,Annual,18200.0
2017,2017,ITF4,Puglia,EUR_HAB,Euro per inhabitant,A,Annual,18500.0
2018,2018,ITF4,Puglia,EUR_HAB,Euro per inhabitant,A,Annual,18900.0
2019,2019,ITF4,Puglia,EUR_HAB,Euro per inhabitant,A,Annual,19300.0
2020,2020,ITF4,Puglia,EUR_HAB,Euro per inhabitant,A,Annual,18200.0
2021,2021,ITF4,Puglia,EUR_HAB,Euro per inhabitant,A,Annual,20300.0
2022,2022,ITF4,Puglia,EUR_HAB,Euro per inhabitant,A,Annual,22100.0
2023,2023,ITF4,Puglia,EUR_HAB,Euro per inhabitant,A,Annual,23600.0
2024,2024,ITF4,Puglia,EUR_HAB,Euro per inhabitant,A,Annual,24300.0
2000,2000,ITF5,Basilicata,EUR_HAB,Euro per inhabitant,A,Annual,15700.0
2001,2001,ITF5,Basilicata,EUR_HAB,Euro per inhabitant,A,Annual,16400.0
2002,2002,ITF5,Basilicata,EUR_HAB,Euro per inhabitant,A,Annual,16900.0
2003,2003,ITF5,Basilicata,EUR_HAB,Euro per inhabitant,A,Annual,17000.0
2004,2004,ITF5,Basilicata,EUR_HAB,Euro per inhabitant,A,Annual,17700.0
2005,2005,ITF5,Basilicata,EUR_HAB,Euro per inhabitant,A,Annual,18000.0
2006,2006,ITF5,Basilicata,EUR_HAB,Euro per inhabitant,A,Annual,19100.0
2007,2007,ITF5,Basilicata,EUR_HAB,Euro per inhabitant,A,Annual,20000.0
2008,2008,ITF5,Basilicata,EUR_HAB,Euro per inhabitant,A,Annual,20000.0
2009,2009,ITF5,Basilicata,EUR_HAB,Euro per inhabitant,A,Annual,19000.0
2010,2010,ITF5,Basilicata,EUR_HAB,Euro per inhabitant,A,Annual,18800.0
2011,2011,ITF5,Basilicata,EUR_HAB,Euro per inhabitant,A,Annual,19500.0
2012,2012,ITF5,Basilicata,EUR_HAB,Euro per inhabitant,A,Annual,19400.0
2013,2013,ITF5,Basilicata,EUR_HAB,Euro per inhabitant,A,Annual,20000.0
2014,2014,ITF5,Basilicata,EUR_HAB,Euro per inhabitant,A,Annual,19400.0
2015,2015,ITF5,Basilicata,EUR_HAB,Euro per inhabitant,A,Annual,21000.0
2016,2016,ITF5,Basilicata,EUR_HAB,Euro per inhabitant,A,Annual,21100.0
2017,2017,ITF5,Basilicata,EUR_HAB,Euro per inhabitant,A,Annual,21400.0
2018,2018,ITF5,Basilicata,EUR_HAB,Euro per inhabitant,A,Annual,22600.0
2019,2019,ITF5,Basilicata,EUR_HAB,Euro per inhabitant,A,Annual,22500.0
