year,region,type,demand_GWh
2022,Liguria,Fonti tradizionali,3215.23221597
2022,Liguria,Saldo import/export,2760.8909
2022,Liguria,Fonti rinnovabili,356.3895
2022,Lombardia,Fonti tradizionali,39045.1556
2022,Lombardia,Fonti rinnovabili,6610.562
2022,Lombardia,Saldo import/export,18939.998
2022,Marche,Fonti rinnovabili,1572.3597
2022,Marche,Fonti tradizionali,476.73985745
2022,Marche,Saldo import/export,5113.792
2022,Molise,Fonti tradizionali,1378.143391
2022,Molise,Fonti rinnovabili,977.4777
2022,Molise,Saldo import/export,-987.66064
2022,Piemonte,Fonti rinnovabili,3718.2527
2022,Piemonte,Fonti tradizionali,19071.10742
2022,Piemonte,Saldo import/export,1.6005695
2022,Puglia,Fonti rinnovabili,10625.7103
2022,Puglia,Fonti tradizionali,23613.682561
2022,Puglia,Saldo import/export,-15153.715
2022,Sardegna,Fonti tradizionali,9166.09622
2022,Sardegna,Fonti rinnovabili,3505.0808
2022,Sardegna,Saldo import/export,-3501.098
2022,Sicilia,Saldo import/export,409.29498
2022,Sicilia,Fonti rinnovabili,5525.0757
2022,Sicilia,Fonti tradizionali,13449.531086
2022,Toscana,Saldo import/export,4414.634
2022,Toscana,Fonti tradizionali,8261.77527885
2022,Toscana,Fonti rinnovabili,7081.3555
2022,Trentino-Alto Adige,Fonti rinnovabili,779.9136
2022,Trentino-Alto Adige,Saldo import/export,-976.41974
2022,Trentino-Alto Adige,Fonti tradizionali,1287.313627
2022,Umbria,Fonti tradizionali,1007.544388
2022,Umbria,Fonti rinnovabili,759.8267
2022,Umbria,Saldo import/export,2832.2642
2022,Valle d'Aosta,Fonti rinnovabili,44.8891
2022,Valle d'Aosta,Saldo import/export,-1352.7528
2022,Valle d'Aosta,Fonti tradizionali,44.27929501
2022,Veneto,Fonti tradizionali,9610.55330925
2022,Veneto,Saldo import/export,16828.521
2022,Veneto,Fonti rinnovabili,4172.161
2023,Abruzzo,Saldo import/export,1132.6614
2023,Abruzzo,Fonti tradizionali,2143.00121606
2023,Abruzzo,Fonti rinnovabili,1614.58714394
2023,Basilicata,Fonti tradizionali,576.093918693
