zone,eic,datetime,price_eur_mwh
IT-North,10Y1001A1001A73I,2026-04-28 08:30:00+02:00,141.62
IT-North,10Y1001A1001A73I,2026-04-28 08:45:00+02:00,141.32
IT-North,10Y1001A1001A73I,2026-04-28 09:00:00+02:00,139.85
IT-North,10Y1001A1001A73I,2026-04-28 09:15:00+02:00,127.75
IT-North,10Y1001A1001A73I,2026-04-28 09:30:00+02:00,118.14
IT-North,10Y1001A1001A73I,2026-04-28 09:45:00+02:00,109.46
IT-North,10Y1001A1001A73I,2026-04-28 10:00:00+02:00,135.0
IT-North,10Y1001A1001A73I,2026-04-28 10:15:00+02:00,118.0
IT-North,10Y1001A1001A73I,2026-04-28 10:30:00+02:00,118.14
IT-North,10Y1001A1001A73I,2026-04-28 10:45:00+02:00,106.9
IT-North,10Y1001A1001A73I,2026-04-28 11:00:00+02:00,88.0
IT-North,10Y1001A1001A73I,2026-04-28 11:15:00+02:00,78.34
IT-North,10Y1001A1001A73I,2026-04-28 11:30:00+02:00,68.0
IT-North,10Y1001A1001A73I,2026-04-28 11:45:00+02:00,55.62
IT-North,10Y1001A1001A73I,2026-04-28 12:00:00+02:00,96.0
IT-North,10Y1001A1001A73I,2026-04-28 12:15:00+02:00,80.0
IT-North,10Y1001A1001A73I,2026-04-28 12:30:00+02:00,71.16
IT-North,10Y1001A1001A73I,2026-04-28 12:45:00+02:00,71.16
IT-North,10Y1001A1001A73I,2026-04-28 13:00:00+02:00,77.17
IT-North,10Y1001A1001A73I,2026-04-28 13:15:00+02:00,73.16
IT-North,10Y1001A1001A73I,2026-04-28 13:30:00+02:00,73.16
IT-North,10Y1001A1001A73I,2026-04-28 13:45:00+02:00,80.17
IT-North,10Y1001A1001A73I,2026-04-28 14:00:00+02:00,96.76
IT-North,10Y1001A1001A73I,2026-04-28 14:15:00+02:00,102.85
IT-North,10Y1001A1001A73I,2026-04-28 14:30:00+02:00,106.91
IT-North,10Y1001A1001A73I,2026-04-28 14:45:00+02:00,113.08
IT-North,10Y1001A1001A73I,2026-04-28 15:00:00+02:00,116.0
IT-North,10Y1001A1001A73I,2026-04-28 15:15:00+02:00,118.14
IT-North,10Y1001A1001A73I,2026-04-28 15:30:00+02:00,118.14
IT-North,10Y1001A1001A73I,2026-04-28 15:45:00+02:00,118.14
IT-North,10Y1001A1001A73I,2026-04-28 16:00:00+02:00,118.14
IT-North,10Y1001A1001A73I,2026-04-28 16:15:00+02:00,120.94
IT-North,10Y1001A1001A73I,2026-04-28 16:30:00+02:00,140.0
IT-North,10Y1001A1001A73I,2026-04-28 16:45:00+02:00,141.32
IT-North,10Y1001A1001A73I,2026-04-28 17:00:00+02:00,127.47
IT-North,10Y1001A1001A73I,2026-04-28 17:15:00+02:00,121.16
IT-North,10Y1001A1001A73I,2026-04-28 17:30:00+02:00,130.45
IT-North,10Y1001A1001A73I,2026-04-28 17:45:00+02:00,141.32
IT-North,10Y1001A1001A73I,2026-04-28 18:00:00+02:00,141.32
IT-North,10Y1001A1001A73I,2026-04-28 18:15:00+02:00,141.62
IT-North,10Y1001A1001A73I,2026-04-28 18:30:00+02:00,147.67
IT-North,10Y1001A1001A73I,2026-04-28 18:45:00+02:00,166.35
IT-North,10Y1001A1001A73I,2026-04-28 19:00:00+02:00,147.25
IT-North,10Y1001A1001A73I,2026-04-28 19:15:00+02:00,152.3
IT-North,10Y1001A1001A73I,2026-04-28 19:30:00+02:00,159.59
IT-North,10Y1001A1001A73I,2026-04-28 19:45:00+02:00,180.86
IT-North,10Y1001A1001A73I,2026-04-28 20:00:00+02:00,166.39
IT-North,10Y1001A1001A73I,2026-04-28 20:15:00+02:00,173.13
